Sign Account,Street Number,Street Name,Size (LxW),Location Description (if no address),X Coordinate,Y Coordinate,Sign Type,Sign Technology,Sign Face Direction,Illumination,Sign Owner,Sign Owner Identifier,Context Picture Hyperlink,Ward_ID
43-007,4238,KINGSTON RD,10 x 20,On Kingston Road just west of Galloway Road,32993.45,4846653.62,Ground,STATIC,E,Up,ASTRAL,430,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8t61v8d09cy&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278650&phx=0&phy=0&phscl=1&encType=1,43
43-008,3775-3785,KINGSTON RD,12 x 16,unknown,328285.09,4845034.13,Roof,STATIC,NE,Up,ASTRAL,38,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8r08j8czckf&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28279648&phx=0&phy=0&phscl=1&encType=1,43
43-008,3775-3785,KINGSTON RD,12 x 16,unknown,328285.09,4845034.13,Roof,STATIC,NW,Up,ASTRAL,39,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8r08j8czckf&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28279067&phx=0&phy=0&phscl=1&encType=1,43
43-009,4189,KINGSTON RD,10 x 20,unknown,329206.68,4846434.05,Ground,STATIC,W,Up,PATTISON,0071B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8sxr28d07fb&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278740&phx=0&phy=0&phscl=1&where1=4189%20Kingston%20Road&encType=1,43
43-009,4189,KINGSTON RD,10 x 20,unknown,329206.68,4846434.05,Ground,STATIC,E,Up,PATTISON,0071A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8tbsq8cyx78&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278956&phx=0&phy=0&phscl=1&encType=1,43
43-010,4233,KINGSTON RD,10 x 20,unknown,329320.87,48446610.74,Roof,STATIC,W,Up,CBS,5805,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8sxr28d07fb&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28280411&phx=0&phy=0&phscl=1&where1=4189%20Kingston%20Road&encType=1,43
43-010,4233,KINGSTON RD,10 x 20,unknown,329320.87,48446610.74,Roof,STATIC,E,Up,CBS,5804,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8t5248d0brx&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278743&phx=0&phy=0&phscl=1&encType=1,43
43-011,4371,KINGSTON RD,10 x 20,unknown,329626.35,4847064.01,Wall,STATIC,E,Up,CBS,5897,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8trrp8d0n9b&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278599&phx=0&phy=0&phscl=1&encType=1,43
43-012,4383-4387,KINGSTON RD,10 x 20,unknown,329683.83,4847161.41,Roof,STATIC,E,Up,CBS,5747,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8tx8b8d0ps9&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278649&phx=0&phy=0&phscl=1&encType=1,43
43-012,4383-4387,KINGSTON RD,10 x 20,unknown,329683.83,4847161.41,Roof,STATIC,W,Up,CBS,5748,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8tx9f8d0pt7&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278649&phx=0&phy=0&phscl=1&encType=1,43
43-013,549-561,MARKHAM RD,10 x 20,unknown,326988.28,4846280.28,Roof,STATIC,N,Up,CBS,1667,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8srj88cy49f&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28279467&phx=0&phy=0&phscl=1&encType=1,43
43-013,549-561,MARKHAM RD,10 x 20,unknown,326988.28,4846280.28,Roof,STATIC,S,Up,CBS,1668,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8sq168cy5gg&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278058&phx=0&phy=0&phscl=1&encType=1,43
43-014,575,MARKHAM RD,10 x 20,unknown,326987.69,4846280.53,Roof,STATIC,S,Up,CBS,1666,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8stch8cy51s&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278058&phx=0&phy=0&phscl=1&encType=1,43
43-014,575,MARKHAM RD,10 x 20,unknown,326987.69,4846280.53,Roof,STATIC,N,Up,CBS,1665,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8sw6f8cy4sd&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28279467&phx=0&phy=0&phscl=1&encType=1,43
42-001,2200,MARKHAM RD,12 x 16,unknown,325414.54,4851772.33,Ground,STATIC,S,No Illumination,PATTISON,0422B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r914g68cwqyw&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28266441&phx=0&phy=0&phscl=1&encType=1,42
42-001,2200,MARKHAM RD,12 x 16,unknown,325415.59,4851774.44,Ground,STATIC,N,No Illumination,PATTISON,0422A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r9145q8cwr11&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28265196&phx=0&phy=0&phscl=1&encType=1,42
42-002,2200,MARKHAM RD,12 x 16,unknown,325445.6,4851936.52,Ground,STATIC,S,Up,PATTISON,0426B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r91c3g8cwrwf&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28266441&phx=0&phy=0&phscl=1&encType=1,42
42-002,2200,MARKHAM RD,12 x 16,unknown,325445.43,4851938.28,Ground,STATIC,N,No Illumination,PATTISON,0426A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r91bs68cwryq&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28265196&phx=0&phy=0&phscl=1&encType=1,42
42-003,2275,MARKHAM RD,10 x 20,unknown,325482.21,4852079.36,Ground,STATIC,S,Up,ASTRAL,378,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r91jx68cwsyz&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28265199&phx=0&phy=0&phscl=1&encType=1,42
42-003,2275,MARKHAM RD,10 x 20,unknown,325482.73,4852082.16,Ground,STATIC,N,Up,ASTRAL,377,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r91jc58cwsyx&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28265194&phx=0&phy=0&phscl=1&encType=1,42
